link_id,year,calls
PT1,2006,9
PT2,2006,13
PT3, 2006, 12

PT1,2007,12
PT2,2007,55
PT3,2007,11

PT1,2008,15
PT2,2008,112
PT3,2008,120

PT1,2009,13
PT10,2009,14
PT11,2009,85

PT1,2010,9
PT10,2010,12
PT11,2010,113

PT1,2011,8
PT10,2011,14
PT11,2011,11

PT12,2012,170
PT13,2012,13
PT14,2012,32

PT1,2013,8
PT10,2013,9
PT11,2013,109

PT1,2014,10
PT10,2014,13
PT11,2014,116

PT1,2015,8
PT10,2015,8
PT11,2015,74

PT1,2016,8
PT10,2016,8
PT11,2016,19

