link_id,year,calls
PT1,2003,205
PT2,2003,224

PT1,2004,165
PT2,2004,166

PT1,2005,134
PT2,2005,232

PT1,2006,163
PT2,2006,204

PT1,2007,177
PT2,2007,219

PT1,2008,205
PT2,2008,224

PT1,2009,165
PT2,2009,166

PT1,2010,134
PT2,2010,232

PT1,2011,163
PT2,2011,204

PT1,2012,177
PT2,2012,219

PT1,2013,141
PT2,2013,233

PT1,2014,158
PT2,2014,225

PT1,2015,177
PT2,2015,245

PT1,2016,165
PT2,2016,259

PT1,2017,111
PT2,2017,333

